coef,words
0.15025803446769714,ing
0.1633923500776291,ion
-0.042916785925626755,ess
0.012129772454500198,ers
0.13134793937206268,ate
-0.05119100958108902,pro
-0.17292118072509766,log
-0.19302161037921906,men
0.05072382465004921,ice
0.10452555119991302,age
-0.015473566018044949,lin
0.14584492146968842,blo
-0.15107840299606323,ons
0.2635492980480194,tor
0.20353294909000397,con
0.17066599428653717,ser
0.08373413234949112,web
-0.0932009145617485,new
0.032314687967300415,tin
-0.0024963945616036654,ort
-0.11416590213775635,vice
0.039772484451532364,law
0.01746556907892227,tax
0.29984334111213684,eme
-0.1711920201778412,cat
-0.29501375555992126,ting
0.018284842371940613,press
0.32544970512390137,art
-0.025595001876354218,service
-0.1635609269142151,count
0.02644023671746254,tra
-0.23028597235679626,boo
-0.021956659853458405,port
0.12069740146398544,sha
-0.22283437848091125,son
0.17311832308769226,news
0.2348288893699646,per
-0.3334055542945862,wit
-0.1330392211675644,sin
-0.14631953835487366,book
0.431701123714447,word
0.026739582419395447,ear
0.009615075774490833,account
0.13511832058429718,ace
0.058225199580192566,ire
0.01701614260673523,act
0.39288124442100525,sit
0.22243578732013702,tic
0.2161841243505478,din
0.16490837931632996,tur
0.26021671295166016,cha
0.10277769714593887,ant
0.214754119515419,tan
-0.038446422666311264,hare
0.04284278675913811,ree
0.03661268576979637,shi
0.07730476558208466,share
-0.04672763869166374,lan
0.4316631853580475,che
0.18966130912303925,mar
0.13479362428188324,tag
0.12302122265100479,rea
-0.16995304822921753,ory
0.27715182304382324,ide
-0.4014125466346741,ink
-0.3833596706390381,hem
0.16969400644302368,ber
0.31427332758903503,teg
-0.41238802671432495,ness
0.3905341327190399,sol
0.4911568760871887,man
-0.11693215370178223,witter
-0.20121267437934875,cal
0.14999660849571228,site
-0.02514578029513359,face
-0.19240525364875793,twit
0.11749178171157837,twitter
-0.2339203804731369,ill
0.06764424592256546,ran
0.002134663285687566,ten
-0.054562389850616455,page
0.26787692308425903,eve
-0.27625441551208496,cate
0.10545963793992996,ark
-0.15602828562259674,ist
0.010363278910517693,car
0.27996426820755005,heme
0.3662642240524292,ego
0.2220543920993805,line
-0.24472565948963165,ust
0.041927095502614975,ame
0.15646503865718842,rat
0.06863445788621902,gor
-0.043648216873407364,leg
0.08518398553133011,bus
-0.47532936930656433,ona
0.2354390025138855,sig
-0.28478187322616577,sine
-0.10403602570295334,link
0.08689425885677338,eat
0.24137820303440094,tal
-0.29226386547088623,ale
-0.05155958607792854,theme
-0.1155720129609108,busine
-0.11633897572755814,business
-0.08914061635732651,gal
-0.04837397485971451,arc
0.1158401295542717,gin
0.14990191161632538,duct
-0.1852564662694931,ure
-0.010012463666498661,sign
0.45149052143096924,net
-0.18562661111354828,par
-0.17638421058654785,gra
-0.22940512001514435,rod
-0.1398337334394455,gory
-0.3452391028404236,ton
0.6152576208114624,cit
-0.7151113152503967,category
-0.314383864402771,arch
0.06233467161655426,den
-0.2468871772289276,one
