Unnamed: 0,company_name,company_id,url,vertical,missing_vertical,vert_code,vert_desc,company_name_short,is_small_name
1781,ATTICUS BUSINESS LAW LIMITED,08075682,http://www.atticusbusinesslaw.co.uk,69102 - Solicitors,0,69102.0,solicitors,atticus business law,0
1785,ATTS LIMITED,04471595,http://www.atts.org.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,atts,0
1798,AUGENTIUS DEPOSITARY COMPANY LIMITED,05830789,http://www.augentiusdepositary.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,augentius depositary company,0
1856,AUXILLIUS EXCELSIS LTD,07969354,http://www.auxillius-excelsis.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,auxillius excelsis,0
1949,AZMI-RANA SOLICITORS LIMITED,06693473,http://www.azmirana.com,69102 - Solicitors,0,69102.0,solicitors,azmi-rana solicitors,0
1967,B.C. BYRNE & CO LIMITED,04467070,http://www.bcbyrneandco.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,b.c. byrne & co,0
2008,BAILLIE SPOWART LTD,SC371201,http://www.bailliespowartsolicitors.co.uk,69102 - Solicitors,0,69102.0,solicitors,baillie spowart,0
2017,BAKER STREET ACCOUNTING LTD,07370878,http://www.bkrstaccounting.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,baker street accounting,0
2037,BALLANTYNE GRANT ( SOLICITORS ) LIMITED,07348788,http://www.bglegal.co.uk,69102 - Solicitors,0,69102.0,solicitors,ballantyne grant ( solicitors ),0
2108,BARNES MARSLAND SOLICITORS LIMITED,08748638,http://www.barnesmarsland.co.uk,69102 - Solicitors,0,69102.0,solicitors,barnes marsland solicitors,0
2124,BARRINGTON & SONS LIMITED,07467612,http://www.barrington-sons.co.uk,69102 - Solicitors,0,69102.0,solicitors,barrington & sons,0
2126,BARRINGTONS SOLICITORS LIMITED,07530369,http://www.barringtons-solicitors.co.uk,69102 - Solicitors,0,69102.0,solicitors,barringtons solicitors,0
2159,BATCHELOR COOP LIMITED,02739117,http://www.batchelorcoop.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,batchelor coop,0
2175,BATTENS SOLICITORS LIMITED,02948102,http://www.battens.co.uk,69102 - Solicitors,0,69102.0,solicitors,battens solicitors,0
2211,BBS SMART LTD,06739707,http://www.bbsa.com.sg,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,bbs smart,0
2216,BCAS ACCOUNTANTS LIMITED,SC317200,http://www.bcasaccountants.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,bcas accountants,0
2252,BEAUFORT CHANCERY LIMITED,06976648,http://www.beaufortchancery.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,beaufort chancery,0
2272,BECKETT RAWCLIFFE LIMITED,06309300,http://www.beckettrawcliffe.com,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,beckett rawcliffe,0
2279,BEDFORD & CO LIMITED,03880908,http://www.bedfordandco.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,bedford & co,0
2295,BEESON BOOKKEEPING SERVICE LIMITED,04478965,http://www.beesonbookkeeping.co.uk,69202 - Bookkeeping activities,0,69202.0,bookkeeping activities,beeson bookkeeping service,0
2318,BELL AND CRAIG LIMITED,SC402617,http://www.bellandcraig.co.uk,69102 - Solicitors,0,69102.0,solicitors,bell and craig,0
2363,BENEFICENT LAW COMMUNITY INTEREST COMPANY,06724746,http://www.beneficentlaw.co.uk,69102 - Solicitors,0,69102.0,solicitors,beneficent law community interest company,0
2369,BENMAN BROWN ACCOUNTANTS LTD,05386366,http://www.benmanbrown.co.uk,69201 - Accounting and auditing activities,0,69201.0,accounting and auditing activities,benman brown accountants,0
