"ending"
".com"
".uk"
".org"
".au"
".net"
".de"
".nz"
".gov"
".et"
".fr"
".ca"
".it"
".eu"
".info"
".ie"
".edu"
".co"
".es"
".ke"
".pl"
".nl"
".ch"
".ru"
".br"
".za"
".in"
".us"
".jp"
".se"
".cn"
".at"
".cz"
".mx"
".tv"
".sg"
".hu"
".io"
".me"
".dk"
".th"
".fi"
".biz"
".be"
".pt"
".tw"
".lt"
".no"
".int"
".aero"
".tr"
